app_mb,test_mb,app_binary_mb,test_binary_mb,peak_mb
0,0,1,1,233
0,128,1,129,1514
0,256,1,257,2798
0,512,1,514,5361
0,700,1,702,7247
128,0,129,1,1385
128,128,129,129,2672
128,256,129,257,3953
128,512,129,514,6517
128,700,129,702,8401
256,0,257,1,2542
256,128,257,129,3823
256,256,257,257,5106
256,512,257,514,7671
256,700,257,702,9555
512,0,514,1,4848
512,128,514,129,6132
512,256,514,257,7415
512,512,514,514,9979
512,700,514,702,11865
700,0,702,1,6544
700,128,702,129,7827
700,256,702,257,9110
700,512,702,514,11675
700,700,702,702,13562
